language,language_label,component_type,source_normalized,source_example,minimum_occurrences,occurrences,target_form_count,dominant_target_form,dominant_target_count,dominant_mapping_rate,mapping_review_signal,target_forms
ca,Catalan,entity_or_value,(15788) 1993 sb,(15788)_1993_SB,2,80,1,(15788) 1993 sb,80,1.0,False,"{""(15788) 1993 sb"": 80}"
ca,Catalan,entity_or_value,(19255) 1994 vk8,(19255)_1994_VK8,2,66,1,(19255) 1994 vk8,66,1.0,False,"{""(19255) 1994 vk8"": 66}"
ca,Catalan,entity_or_value,(29075) 1950 da,(29075)_1950_DA,2,39,1,(29075) 1950 da,39,1.0,False,"{""(29075) 1950 da"": 39}"
ca,Catalan,entity_or_value,(410777) 2009 fd,(410777)_2009_FD,2,87,1,(410777) 2009 fd,87,1.0,False,"{""(410777) 2009 fd"": 87}"
ca,Catalan,entity_or_value,(66063) 1998 ro1,(66063)_1998_RO1,2,92,1,(66063) 1998 ro1,92,1.0,False,"{""(66063) 1998 ro1"": 92}"
ca,Catalan,entity_or_value,(66391) 1999 kw4,(66391)_1999_KW4,2,79,1,(66391) 1999 kw4,79,1.0,False,"{""(66391) 1999 kw4"": 79}"
ca,Catalan,entity_or_value,+2,+2,2,3,1,+2,3,1.0,False,"{""+2"": 3}"
ca,Catalan,entity_or_value,+8,+8,2,2,1,+8,2,1.0,False,"{""+8"": 2}"
ca,Catalan,entity_or_value,-3.3528,-3.3528,2,18,1,-3.3528,18,1.0,False,"{""-3.3528"": 18}"
ca,Catalan,entity_or_value,-7,"""-7""",2,9,1,-7,9,1.0,False,"{""-7"": 9}"
ca,Catalan,entity_or_value,-71.0 (degreecelsius),-71.0 (degreeCelsius),2,3,1,-71.0 (graus celsius),3,1.0,False,"{""-71.0 (graus celsius)"": 3}"
ca,Catalan,entity_or_value,-8,"""-8""",2,8,1,-8,8,1.0,False,"{""-8"": 8}"
ca,Catalan,entity_or_value,0,0,2,11,1,0,11,1.0,False,"{""0"": 11}"
ca,Catalan,entity_or_value,0-374-26131-8,"""0-374-26131-8""",2,10,1,0-374-26131-8,10,1.0,False,"{""0-374-26131-8"": 10}"
ca,Catalan,entity_or_value,0-439-17684-0,"""0-439-17684-0""",2,11,1,0-439-17684-0,11,1.0,False,"{""0-439-17684-0"": 11}"
ca,Catalan,entity_or_value,0-439-17685-9,"""0-439-17685-9""",2,8,1,0-439-17685-9,8,1.0,False,"{""0-439-17685-9"": 8}"
ca,Catalan,entity_or_value,0-439-92550-9,"""0-439-92550-9""",2,10,1,0-439-92550-9,10,1.0,False,"{""0-439-92550-9"": 10}"
ca,Catalan,entity_or_value,0-670-03380-4,"""0-670-03380-4""",2,10,1,0-670-03380-4,10,1.0,False,"{""0-670-03380-4"": 10}"
ca,Catalan,entity_or_value,0-7156-3648-0,"""0-7156-3648-0""",2,10,1,0-7156-3648-0,10,1.0,False,"{""0-7156-3648-0"": 10}"
ca,Catalan,entity_or_value,0-7653-0633-6,"""0-7653-0633-6""",2,6,1,0-7653-0633-6,6,1.0,False,"{""0-7653-0633-6"": 6}"
ca,Catalan,entity_or_value,0.0068 (kilometreperseconds),0.0068 (kilometrePerSeconds),2,11,1,"0,0068 (kilòmetrepersegons)",11,1.0,False,"{""0,0068 (kilòmetrepersegons)"": 11}"
ca,Catalan,entity_or_value,0.0112 (kilometreperseconds),0.0112 (kilometrePerSeconds),2,9,1,0.0112 (quilòmetrepersegons),9,1.0,False,"{""0.0112 (quilòmetrepersegons)"": 9}"
ca,Catalan,entity_or_value,0.0155 (kilometreperseconds),0.0155 (kilometrePerSeconds),2,9,1,0.0155 (quilòmetrepersegons),9,1.0,False,"{""0.0155 (quilòmetrepersegons)"": 9}"
ca,Catalan,entity_or_value,0.02 (kilometreperseconds),0.02 (kilometrePerSeconds),2,6,1,0.02 (quilòmetrepersegons),6,1.0,False,"{""0.02 (quilòmetrepersegons)"": 6}"
ca,Catalan,entity_or_value,0.0252 (kilometreperseconds),0.0252 (kilometrePerSeconds),2,3,1,0.0252 (quilòmetrepersegons),3,1.0,False,"{""0.0252 (quilòmetrepersegons)"": 3}"
ca,Catalan,entity_or_value,0.0348 (kilometreperseconds),0.0348 (kilometrePerSeconds),2,5,1,0.0348 (kilòmetrepersegons),5,1.0,False,"{""0.0348 (kilòmetrepersegons)"": 5}"
ca,Catalan,entity_or_value,0.0455 (kilometreperseconds),0.0455 (kilometrePerSeconds),2,9,1,0.0455 (kilòmetreper segons),9,1.0,False,"{""0.0455 (kilòmetreper segons)"": 9}"
ca,Catalan,entity_or_value,0.0473 (kilometreperseconds),0.0473 (kilometrePerSeconds),2,8,1,0.0473 (kilòmetreper segons),8,1.0,False,"{""0.0473 (kilòmetreper segons)"": 8}"
ca,Catalan,entity_or_value,0.0482 (kilometreperseconds),0.0482 (kilometrePerSeconds),2,6,1,0.0482 (kilòmetrepersegons),6,1.0,False,"{""0.0482 (kilòmetrepersegons)"": 6}"
ca,Catalan,entity_or_value,0.0925 (kilometreperseconds),0.0925 (kilometrePerSeconds),2,6,1,0. 0925 (quilòmetres per segon),6,1.0,False,"{""0. 0925 (quilòmetres per segon)"": 6}"
ca,Catalan,entity_or_value,0.0999 (kilometreperseconds),0.0999 (kilometrePerSeconds),2,7,1,0.0999 (kilòmetreper segons),7,1.0,False,"{""0.0999 (kilòmetreper segons)"": 7}"
ca,Catalan,entity_or_value,0.21 (kilometreperseconds),0.21 (kilometrePerSeconds),2,11,1,0.21 (quilòmetrepersegons),11,1.0,False,"{""0.21 (quilòmetrepersegons)"": 11}"
ca,Catalan,entity_or_value,0.54 (square kilometres),0.54 (square kilometres),2,2,1,"0,54 (kilòmetres quadrats)",2,1.0,False,"{""0,54 (kilòmetres quadrats)"": 2}"
ca,Catalan,entity_or_value,0.88 (square kilometres),0.88 (square kilometres),2,2,1,0.88 (quilòmetres quadrats),2,1.0,False,"{""0.88 (quilòmetres quadrats)"": 2}"
ca,Catalan,entity_or_value,0001-8392,"""0001-8392""",2,8,1,0001-8392,8,1.0,False,"{""0001-8392"": 8}"
ca,Catalan,entity_or_value,0002-9327,"""0002-9327""",2,8,1,0002-9327,8,1.0,False,"{""0002-9327"": 8}"
ca,Catalan,entity_or_value,0004319,0004319,2,14,1,0004319,14,1.0,False,"{""0004319"": 14}"
ca,Catalan,entity_or_value,0025-5858,"""0025-5858""",2,4,1,0025-5858,4,1.0,False,"{""0025-5858"": 4}"
ca,Catalan,entity_or_value,0236-5294,"""0236-5294""",2,4,1,0236-5294,4,1.0,False,"{""0236-5294"": 4}"
ca,Catalan,entity_or_value,0269-9370,"""0269-9370""",2,6,1,0269-9370,6,1.0,False,"{""0269-9370"": 6}"
ca,Catalan,entity_or_value,03/21,"""03/21""",2,3,1,03/21,3,1.0,False,"{""03/21"": 3}"
ca,Catalan,entity_or_value,03l/21r,"""03L/21R""",2,8,1,03l/21r,8,1.0,False,"{""03l/21r"": 8}"
ca,Catalan,entity_or_value,03r/21l,"""03R/21L""",2,6,1,03r/21l,6,1.0,False,"{""03r/21l"": 6}"
ca,Catalan,entity_or_value,04/22 'oostbaan,"""04/22 'Oostbaan'""",2,2,1,04/22 'oostbaan,2,1.0,False,"{""04/22 'oostbaan"": 2}"
ca,Catalan,entity_or_value,0567-7920,"""0567-7920""",2,7,1,0567-7920,7,1.0,False,"{""0567-7920"": 7}"
ca,Catalan,entity_or_value,05l/23r,"""05L/23R""",2,5,1,05l/23r,5,1.0,False,"{""05l/23r"": 5}"
ca,Catalan,entity_or_value,06/24 'kaagbaan,"""06/24 'Kaagbaan'""",2,2,1,06/24 'kaagbaan,2,1.0,False,"{""06/24 'kaagbaan"": 2}"
ca,Catalan,entity_or_value,07/25,"""07/25""",2,5,1,07/25,5,1.0,False,"{""07/25"": 5}"
ca,Catalan,entity_or_value,08/26,"""08/26""",2,23,1,08/26,23,1.0,False,"{""08/26"": 23}"
ca,Catalan,entity_or_value,0965-2140,"""0965-2140""",2,6,1,0965-2140,6,1.0,False,"{""0965-2140"": 6}"
ca,Catalan,entity_or_value,09l/27r,"""09L/27R""",2,7,1,09l/27r,7,1.0,False,"{""09l/27r"": 7}"
ca,Catalan,entity_or_value,09r/27l,"""09R/27L""",2,4,1,09r/27l,4,1.0,False,"{""09r/27l"": 4}"
