record_key,xml_path,split,triple_bucket,category,eid,declared_size_raw,declared_size,declared_size_valid,expected_triple_count,source_triple_count,english_lexicalisations,english_lids_unique,es_target_triple_count,es_target_lexicalisations,es_target_lids_unique,es_lid_set_equal,ca_target_triple_count,ca_target_lexicalisations,ca_target_lids_unique,ca_lid_set_equal
dev/1triples/Airport_allSolutions.xml::Id1,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id1,1,1,True,1,1,1,True,1,1,True,True,1,1,True,True
dev/1triples/Airport_allSolutions.xml::Id2,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id2,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id3,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id3,1,1,True,1,1,1,True,1,1,True,True,1,1,True,True
dev/1triples/Airport_allSolutions.xml::Id4,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id4,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id5,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id5,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Airport_allSolutions.xml::Id6,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id6,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Airport_allSolutions.xml::Id7,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id7,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id8,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id8,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id9,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id9,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id10,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id10,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Airport_allSolutions.xml::Id11,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id11,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id12,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id12,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Airport_allSolutions.xml::Id13,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id13,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id14,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id14,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Airport_allSolutions.xml::Id15,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id15,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Airport_allSolutions.xml::Id16,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id16,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Airport_allSolutions.xml::Id17,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id17,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Airport_allSolutions.xml::Id18,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id18,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Airport_allSolutions.xml::Id19,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id19,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Airport_allSolutions.xml::Id20,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id20,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Airport_allSolutions.xml::Id21,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id21,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id22,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id22,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Airport_allSolutions.xml::Id23,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id23,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id24,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id24,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Airport_allSolutions.xml::Id25,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id25,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id26,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id26,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id27,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id27,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Airport_allSolutions.xml::Id28,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id28,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id29,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id29,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id30,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id30,1,1,True,1,1,1,True,1,1,True,True,1,1,True,True
dev/1triples/Airport_allSolutions.xml::Id31,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id31,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id32,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id32,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id33,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id33,1,1,True,1,1,1,True,1,1,True,True,1,1,True,True
dev/1triples/Airport_allSolutions.xml::Id34,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id34,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id35,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id35,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id36,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id36,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Airport_allSolutions.xml::Id37,dev/1triples/Airport_allSolutions.xml,dev,1triples,Airport,Id37,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id1,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id1,1,1,True,1,1,1,True,1,1,True,True,1,1,True,True
dev/1triples/Artist_allSolutions.xml::Id2,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id2,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Artist_allSolutions.xml::Id3,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id3,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id4,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id4,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id5,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id5,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id6,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id6,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id7,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id7,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Artist_allSolutions.xml::Id8,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id8,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id9,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id9,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id10,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id10,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id11,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id11,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Artist_allSolutions.xml::Id12,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id12,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Artist_allSolutions.xml::Id13,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id13,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id14,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id14,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Artist_allSolutions.xml::Id15,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id15,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Artist_allSolutions.xml::Id16,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id16,1,1,True,1,1,1,True,1,1,True,True,1,1,True,True
dev/1triples/Artist_allSolutions.xml::Id17,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id17,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Artist_allSolutions.xml::Id18,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id18,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id19,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id19,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Artist_allSolutions.xml::Id20,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id20,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Artist_allSolutions.xml::Id21,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id21,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id22,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id22,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id23,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id23,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id24,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id24,1,1,True,1,1,1,True,1,1,True,True,1,1,True,True
dev/1triples/Artist_allSolutions.xml::Id25,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id25,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Artist_allSolutions.xml::Id26,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id26,1,1,True,1,1,1,True,1,1,True,True,1,1,True,True
dev/1triples/Artist_allSolutions.xml::Id27,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id27,1,1,True,1,1,2,True,1,2,True,True,1,2,True,True
dev/1triples/Artist_allSolutions.xml::Id28,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id28,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id29,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id29,1,1,True,1,1,1,True,1,1,True,True,1,1,True,True
dev/1triples/Artist_allSolutions.xml::Id30,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id30,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id31,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id31,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id32,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id32,1,1,True,1,1,1,True,1,1,True,True,1,1,True,True
dev/1triples/Artist_allSolutions.xml::Id33,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id33,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Artist_allSolutions.xml::Id34,dev/1triples/Artist_allSolutions.xml,dev,1triples,Artist,Id34,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
dev/1triples/Astronaut_allSolutions.xml::Id1,dev/1triples/Astronaut_allSolutions.xml,dev,1triples,Astronaut,Id1,1,1,True,1,1,5,True,1,5,True,True,1,5,True,True
dev/1triples/Astronaut_allSolutions.xml::Id2,dev/1triples/Astronaut_allSolutions.xml,dev,1triples,Astronaut,Id2,1,1,True,1,1,1,True,1,1,True,True,1,1,True,True
dev/1triples/Astronaut_allSolutions.xml::Id3,dev/1triples/Astronaut_allSolutions.xml,dev,1triples,Astronaut,Id3,1,1,True,1,1,3,True,1,3,True,True,1,3,True,True
