Language,Corruption,Metric,Severity,Variants,Mean delta,CI low,CI high,Expected-direction rate,AUROC,AUPRC
Catalan,Entity substitution in text,Minimum triple coverage,mild,300,-0.1467334767260278,-0.1609378427757571,-0.1321204146033851,0.8933333333333333,0.7186999999999999,0.7227928082435572
Spanish,Entity substitution in text,Minimum triple coverage,mild,300,-0.1270491071604192,-0.142575799105068,-0.112704523677472,0.8466666666666667,0.7045111111111111,0.6905996842089998
Catalan,Entity substitution in triples,Triple-set similarity,mild,381,-0.1018164704634448,-0.1147188012505297,-0.0902364861797003,0.9422572178477692,0.7906772480211627,0.7942247136392351
Spanish,Entity substitution in triples,Triple-set similarity,mild,380,-0.1051286506025414,-0.1174782028990356,-0.0936916451646309,0.9657894736842104,0.8032825484764543,0.801879281238231
Catalan,Literal changed in text,Target triple-to-text literal retention,mild,217,-0.5602315119596226,-0.6060047728768928,-0.5157710664911126,0.9216589861751152,0.9444350060523689,0.9301544168139344
Spanish,Literal changed in text,Target triple-to-text literal retention,mild,218,-0.5492518567059851,-0.5960401649191787,-0.5062102719528178,0.9220183486238532,0.9499305614005557,0.9353650529430224
Catalan,Literal changed in triples and text,Source-to-target literal preservation,mild,217,-0.6010661253748811,-0.6416271669958308,-0.5578444334723136,0.9953917050691244,0.9861114060608636,0.980588533936854
Spanish,Literal changed in triples and text,Source-to-target literal preservation,mild,218,-0.5956331003349352,-0.6365579037425368,-0.5539785386631717,0.9862385321100916,0.9881954380944364,0.985212730882653
Catalan,Mild omission,Minimum triple coverage,mild,85,-0.0534886439933496,-0.0685091791871716,-0.0379915466948467,0.8,0.5968166089965398,0.6335084953215281
Spanish,Mild omission,Minimum triple coverage,mild,83,-0.0791611239897558,-0.0974502054447061,-0.0606229006391332,0.8433734939759037,0.6246189577587458,0.6529088093347707
Catalan,Plausible unsupported addition,Minimum text groundedness,mild,300,-0.1176824247899154,-0.1357355612774069,-0.1010992417954839,0.6966666666666667,0.7222277777777777,0.6939356592925348
Spanish,Plausible unsupported addition,Minimum text groundedness,mild,300,-0.1217206003703176,-0.1395860295474218,-0.1036154115280757,0.69,0.7285666666666668,0.6948253543745859
Catalan,Predicate substitution,Predicate-component similarity,mild,400,-0.2072202503995171,-0.2251226983895503,-0.1898797530750333,0.9575,0.8004937500000001,0.7855165874723005
Spanish,Predicate substitution,Predicate-component similarity,mild,400,-0.2152867764224786,-0.2344607727460008,-0.195825879751596,0.9575,0.8191499999999998,0.8064886441144279
Catalan,Severe omission,Minimum triple coverage,severe,85,-0.1078482919756104,-0.1338445057719945,-0.0826599035565467,0.8,0.683598615916955,0.7124663626591163
Spanish,Severe omission,Minimum triple coverage,severe,83,-0.0894682697323431,-0.117892060789044,-0.0615115855023803,0.7108433734939759,0.6326026999564524,0.6762176974704713
Catalan,Structured unchanged-predicate challenge,Structured predicate review flag,mild,300,0.4133333333333333,,,0.4133333333333333,,
Spanish,Structured unchanged-predicate challenge,Structured predicate review flag,mild,300,0.4666666666666667,,,0.4666666666666667,,
Catalan,Unrelated unsupported addition,Minimum text groundedness,severe,300,-0.5159575480866867,-0.5374640264821549,-0.4957839408426662,0.9933333333333332,0.9892222222222222,0.9856085133522644
Spanish,Unrelated unsupported addition,Minimum text groundedness,severe,300,-0.5109978041518479,-0.531963286372212,-0.4896919167918774,0.9866666666666668,0.9907777777777778,0.9897164915163528
Catalan,Wrong-record text,Minimum triple coverage,severe,400,-0.4791174566664267,-0.4954553630140435,-0.4623737768628634,1.0,0.99524375,0.9949660959601622
Spanish,Wrong-record text,Minimum triple coverage,severe,400,-0.5055608401552308,-0.5234645543660444,-0.4879337751981512,0.9975,0.9957125,0.9952288157145172
