variant_id,base_pair_key,record_key,language,language_label,qa_track,corruption_type,severity,declared_size,source_lid,variant_lid,source_triples,clean_target_triples,variant_target_triples,source_text,clean_target_text,variant_target_text,xml_duplicate_target_lex,xml_path,split,triple_bucket,category,eid,is_benign,consistency_group_id,perturbation_pair_id,removed_token_fraction,alternative_reference_lid,alternative_source_text,qa21_instance_key,text_similarity,triple_similarity,predicate_similarity,structured_predicate_review_flag,predicate_pair_count,predicate_alignment_valid,source_target_literal_preservation,source_literal_count,target_triple_count,minimum_triple_coverage,minimum_text_groundedness,textual_unit_count,target_text_literal_retention,target_literal_count,english_literal_eligible,target_literal_full_success,coverage_threshold,groundedness_threshold,coverage_margin,groundedness_margin,english_calibrated_coverage_pass,english_calibrated_groundedness_pass,english_triple_count,english_minimum_triple_coverage,english_minimum_text_groundedness,manual_target_triples_correct,manual_text_adequacy_1_5,manual_all_facts_expressed,manual_unsupported_addition,manual_entities_values_correct,manual_notes
original__ca__754df9c5d9b2,train/3triples/Politician.xml::Id154::Id2,train/3triples/Politician.xml::Id154,ca,Catalan,CLEAN,clean,clean,3,Id2,Id2,"['Albert_Jennings_Fountain | birthPlace | New_York', 'American_Civil_War | commander | Abraham_Lincoln', 'Albert_Jennings_Fountain | battle | American_Civil_War']","['Albert_Jennings_Fountain | LlocDeNaixement | Nova_York', 'Guerra_Civil_dels_Estats_Units | Comandant | Abraham_Lincoln', 'Albert_Jennings_Fountain | Batalla | Guerra_Civil_dels_Estats_Units']","['Albert_Jennings_Fountain | LlocDeNaixement | Nova_York', 'Guerra_Civil_dels_Estats_Units | Comandant | Abraham_Lincoln', 'Albert_Jennings_Fountain | Batalla | Guerra_Civil_dels_Estats_Units']",Albert Jennings Fountain was born in New York and fought in the American Civil War when Abraham Lincoln was a commander.,Albert Jennings Fountain va néixer a Nova York i va lluitar a la Guerra Civil Americana quan Abraham Lincoln era un comandant.,Albert Jennings Fountain va néixer a Nova York i va lluitar a la Guerra Civil Americana quan Abraham Lincoln era un comandant.,False,train/3triples/Politician.xml,train,3triples,Politician,Id154,False,,,,,,original__ca__754df9c5d9b2,0.9951336979866028,0.9746736288070679,0.8428186774253845,0.0,3,True,,0,3,0.5328054428100586,0.6771515607833862,1,,0,False,False,0.33754532784223557,0.4270522966980934,0.19526011496782303,0.2500992640852928,True,True,3,0.5287854075431824,0.6677188873291016,,,,,,
original__ca__0b19b02f4588,train/4triples/Food.xml::Id22::Id1,train/4triples/Food.xml::Id22,ca,Catalan,CLEAN,clean,clean,4,Id1,Id1,"['Arem-arem | country | Indonesia', 'Arem-arem | region | ""Nationwide in Indonesia, but more specific to Java""', 'Indonesia | leader | Joko_Widodo', 'Indonesia | language | Indonesian_language']","['Arem-arem | País | Indonèsia', 'Arem-arem | Regió | Nacional_a_Indonèsia,_però_més_específic_a_Java', 'Indonèsia | Líder | Joko_Widodo', 'Indonèsia | Llengua | Llengua_indonesiana']","['Arem-arem | País | Indonèsia', 'Arem-arem | Regió | Nacional_a_Indonèsia,_però_més_específic_a_Java', 'Indonèsia | Líder | Joko_Widodo', 'Indonèsia | Llengua | Llengua_indonesiana']","Joko Widodo is the leader in Indonesia, where the language is Indonesian. It is also where Arem-arem is served, nationwide but more specific to Java.","Joko Widodo és el líder a Indonèsia, on la llengua és l'indonesi. També és on se serveix Arem-Arem, a tot el país, però més específicament a Java.","Joko Widodo és el líder a Indonèsia, on la llengua és l'indonesi. També és on se serveix Arem-Arem, a tot el país, però més específicament a Java.",False,train/4triples/Food.xml,train,4triples,Food,Id22,False,,,,,,original__ca__0b19b02f4588,0.9902629852294922,0.9758189916610718,0.9388767927885056,0.0,4,True,,0,4,0.6238065958023071,0.654545247554779,2,,0,False,False,0.28582777082920074,0.3673718720674515,0.3379788249731064,0.2871733754873276,True,True,4,0.5950157642364502,0.7233676910400391,,,,,,
original__ca__00a710852bc3,train/2triples/Artist.xml::Id120::Id1,train/2triples/Artist.xml::Id120,ca,Catalan,CLEAN,clean,clean,2,Id1,Id1,"['Alex_Day | genre | Synthpop', 'Synthpop | stylisticOrigin | Pop_music']","['Alex_Day | Gènere | Synthpop', 'Synthpop | OrigenEstilístic | pop']","['Alex_Day | Gènere | Synthpop', 'Synthpop | OrigenEstilístic | pop']",Alex Day performs Synthpop music which is a form of pop music.,Alex Day interpreta música Synthpop que és una forma de música pop.,Alex Day interpreta música Synthpop que és una forma de música pop.,False,train/2triples/Artist.xml,train,2triples,Artist,Id120,False,,,,,,original__ca__00a710852bc3,0.981721818447113,0.8515222072601318,0.6303006410598755,0.0,2,True,,0,2,0.3822503089904785,0.670263409614563,1,,0,False,False,0.4160341203212738,0.4842067241668701,-0.03378381133079528,0.18605668544769288,False,True,2,0.5624253153800964,0.7811405062675476,,,,,,
original__ca__04e1414ec01e,train/2triples/SportsTeam.xml::Id127::Id1,train/2triples/SportsTeam.xml::Id127,ca,Catalan,CLEAN,clean,clean,2,Id1,Id1,"['AZAL_PFK | league | Azerbaijan_Premier_League', 'Azerbaijan_Premier_League | champions | Qarabağ_FK']","['AZAL_PFK | Lliga | lliga_azerbaidjanesa_de_futbol', 'lliga_azerbaidjanesa_de_futbol | Campions | FK_Karabakh_Agdam']","['AZAL_PFK | Lliga | lliga_azerbaidjanesa_de_futbol', 'lliga_azerbaidjanesa_de_futbol | Campions | FK_Karabakh_Agdam']",The AZAL PFK competes in The Azerbaijan Premier League where the championship is held by Qarabag FK.,"L'AZAL PFK competeix a la Premier League de l'Azerbaidjan, on el campionat l'organitza el Qarabag FK.","L'AZAL PFK competeix a la Premier League de l'Azerbaidjan, on el campionat l'organitza el Qarabag FK.",False,train/2triples/SportsTeam.xml,train,2triples,SportsTeam,Id127,False,,,,,,original__ca__04e1414ec01e,0.9671570658683777,0.8968154191970825,0.8492282330989838,0.0,2,True,,0,2,0.5760973691940308,0.6445509195327759,1,,0,False,False,0.4160341203212738,0.4842067241668701,0.16006324887275697,0.16034419536590577,True,True,2,0.6969053745269775,0.7368675470352173,,,,,,
original__ca__b298ce7bde4a,train/2triples/Athlete.xml::Id168::Id1,train/2triples/Athlete.xml::Id168,ca,Catalan,CLEAN,clean,clean,2,Id1,Id1,"['Canada | leader | Elizabeth_II', 'Aaron_Boogaard | birthPlace | Canada']","['Canadà | Líder | Elisabet_II_del_Regne_Unit', 'Aaron_Boogaard | LlocDeNaixement | Canadà']","['Canadà | Líder | Elisabet_II_del_Regne_Unit', 'Aaron_Boogaard | LlocDeNaixement | Canadà']",Canada is led by Elizabeth II and is the birthplace of Aaron Boogaard.,El Canadà està dirigit per Elisabet II i és el lloc de naixement d'Aaron Boogaard.,El Canadà està dirigit per Elisabet II i és el lloc de naixement d'Aaron Boogaard.,False,train/2triples/Athlete.xml,train,2triples,Athlete,Id168,False,,,,,,original__ca__b298ce7bde4a,0.9482520818710327,0.9284197688102722,0.7770597338676453,0.0,2,True,,0,2,0.41426926851272583,0.6004763245582581,1,,0,False,False,0.4160341203212738,0.4842067241668701,-0.0017648518085479625,0.11626960039138795,False,True,2,0.5027690529823303,0.6154333353042603,,,,,,
original__ca__5d1de685a3d0,train/1triples/Athlete_allSolutions.xml::Id105::Id3,train/1triples/Athlete_allSolutions.xml::Id105,ca,Catalan,CLEAN,clean,clean,1,Id3,Id3,['Al-Wakrah_Sport_Club | position | Qatar_Stars_League'],['Club_Esportiu_Al-Wakrah | Posició | Lliga_qatariana_de_futbol'],['Club_Esportiu_Al-Wakrah | Posició | Lliga_qatariana_de_futbol'],Al Wakrah Sport Club play in the Qatar Stars league.,L'Al Wakrah Sport Club juga a la lliga Qatar Stars.,L'Al Wakrah Sport Club juga a la lliga Qatar Stars.,False,train/1triples/Athlete_allSolutions.xml,train,1triples,Athlete,Id105,False,,,,,,original__ca__5d1de685a3d0,0.9747390747070312,0.9287652969360352,0.9113763570785522,0.0,1,True,,0,1,0.7356284260749817,0.7356284856796265,1,,0,False,False,0.5896280944347382,0.5231981992721558,0.1460003316402435,0.21243028640747064,True,True,1,0.7903976440429688,0.7903976440429688,,,,,,
original__ca__d6c6bcc6558d,train/3triples/Artist.xml::Id138::Id2,train/3triples/Artist.xml::Id138,ca,Catalan,CLEAN,clean,clean,3,Id2,Id2,"['Alfredo_Zitarrosa | genre | Candombe', 'Alfredo_Zitarrosa | recordLabel | Orfeo_(Uruguayan_record_label)', 'Alfredo_Zitarrosa | background | ""solo_singer""']","['Alfredo_Zitarrosa | Gènere | candombe', 'Alfredo_Zitarrosa | EtiquetaDelRegistre | Orfeo_(empresa_discogràfica_uruguaiana)', 'Alfredo_Zitarrosa | Antecedents | cantant_en_solitari']","['Alfredo_Zitarrosa | Gènere | candombe', 'Alfredo_Zitarrosa | EtiquetaDelRegistre | Orfeo_(empresa_discogràfica_uruguaiana)', 'Alfredo_Zitarrosa | Antecedents | cantant_en_solitari']","Alfredo Zitarrosa, who started out as a solo singer, is with the Orfeo record label. Alfredo Zitarrosa's musical genre is Candombe.","Alfredo Zitarrosa, que va començar com a cantant en solitari, està amb el segell discogràfic Orfeo.El gènere musical d'Alfredo Zitarrosa és el candombe.","Alfredo Zitarrosa, que va començar com a cantant en solitari, està amb el segell discogràfic Orfeo.El gènere musical d'Alfredo Zitarrosa és el candombe.",False,train/3triples/Artist.xml,train,3triples,Artist,Id138,False,,,,,,original__ca__d6c6bcc6558d,0.9616259336471558,0.944282054901123,0.6772029399871826,0.0,3,True,,0,3,0.5223219394683838,0.6893231272697449,1,,0,False,False,0.33754532784223557,0.4270522966980934,0.18477661162614822,0.26227083057165146,True,True,3,0.6309462785720825,0.6649156212806702,,,,,,
original__ca__6d06c4a6f703,test/rdf-to-text-generation-test-data-with-refs-en.xml::Id968::Id2,test/rdf-to-text-generation-test-data-with-refs-en.xml::Id968,ca,Catalan,CLEAN,clean,clean,1,Id2,Id2,['1147_Stavropolis | discovered | 1929-06-11'],['(1147)_Stavropolis | Descobert | 1929-06-11'],['(1147)_Stavropolis | Descobert | 1929-06-11'],"1147 Stavropolis is an asteroid, discovered on 11 June 1929.","1147 Stavropolis és un asteroide, descobert l'11 de juny de 1929.","1147 Stavropolis és un asteroide, descobert l'11 de juny de 1929.",False,test/rdf-to-text-generation-test-data-with-refs-en.xml,test,rdf-to-text-generation-test-data-with-refs-en.xml,CelestialBody,Id968,False,,,,,,original__ca__6d06c4a6f703,0.9950138926506042,0.8872189521789551,0.9187070727348328,0.0,1,True,1.0,4,1,0.44731202721595764,0.44731202721595764,1,1.0,4,True,True,0.5896280944347382,0.5231981992721558,-0.14231606721878054,-0.07588617205619819,False,False,1,0.5898884534835815,0.5898884534835815,,,,,,
original__ca__9b3f355f00e3,train/3triples/Politician.xml::Id252::Id3,train/3triples/Politician.xml::Id252,ca,Catalan,CLEAN,clean,clean,3,Id3,Id3,"['United_States | ethnicGroup | Native_Americans_in_the_United_States', 'Abraham_A._Ribicoff | birthPlace | Connecticut', 'Abraham_A._Ribicoff | nationality | United_States']","[""Estats_Units_d'Amèrica | GrupÈtnic | amerindis_dels_Estats_Units"", 'Abraham_A._Ribicoff | LlocDeNaixement | Connecticut', ""Abraham_A._Ribicoff | Nacionalitat | Estats_Units_d'Amèrica""]","[""Estats_Units_d'Amèrica | GrupÈtnic | amerindis_dels_Estats_Units"", 'Abraham_A._Ribicoff | LlocDeNaixement | Connecticut', ""Abraham_A._Ribicoff | Nacionalitat | Estats_Units_d'Amèrica""]",Abraham A Ribicoff is from Connecticut which is in the United States where one of the ethnic groups are the Native Americans.,"Abraham A Ribicoff és de Connecticut, que és als Estats Units on un dels grups ètnics són els nadius americans.","Abraham A Ribicoff és de Connecticut, que és als Estats Units on un dels grups ètnics són els nadius americans.",False,train/3triples/Politician.xml,train,3triples,Politician,Id252,False,,,,,,original__ca__9b3f355f00e3,0.9649513959884644,0.9043234586715698,0.7572073936462402,0.0,3,True,,0,3,0.42494145035743713,0.6968994140625,1,,0,False,False,0.33754532784223557,0.4270522966980934,0.08739612251520157,0.2698471173644066,True,True,3,0.5580030679702759,0.6392855644226074,,,,,,
original__ca__0b435c51141a,train/5triples/Food.xml::Id134::Id3,train/5triples/Food.xml::Id134,ca,Catalan,CLEAN,clean,clean,5,Id3,Id3,"['Bhajji | country | India', 'Bhajji | region | Karnataka', 'Bhajji | mainIngredient | ""Gram flour, vegetables""', 'Bhajji | alternativeName | ""Bhaji, bajji""', 'Bhajji | ingredient | Vegetable']","['Bhajji | País | Índia', 'Bhajji | Regió | Karnataka', 'Bhajji | PrincipalIngredient | Farina_de_gram,_verdures', 'Bhajji | NomAlternatiu | Bhaji,_bajji', 'Bhajji | Ingredient | verdura']","['Bhajji | País | Índia', 'Bhajji | Regió | Karnataka', 'Bhajji | PrincipalIngredient | Farina_de_gram,_verdures', 'Bhajji | NomAlternatiu | Bhaji,_bajji', 'Bhajji | Ingredient | verdura']","Bhajji (Bhaji), or bajji, contains vegetables and gram flour; it originates from the Karnataka region of India.","Bhajji (Bhaji), o bajji, conté verdures i farina de gram; s'origina a la regió de Karnataka de l'Índia.","Bhajji (Bhaji), o bajji, conté verdures i farina de gram; s'origina a la regió de Karnataka de l'Índia.",False,train/5triples/Food.xml,train,5triples,Food,Id134,False,,,,,,original__ca__0b435c51141a,0.986143171787262,0.9560956954956055,0.6659187406301499,0.0,5,True,,0,5,0.5239154100418091,0.5805557370185852,1,,0,False,False,0.25082006603479384,0.3705099388957024,0.27309534400701524,0.21004579812288282,True,True,5,0.5390897989273071,0.6189695596694946,,,,,,
