kind,lang,source_token,source_query_text,mt_nllb,mt_madlad,mt_salamandra,vote_threshold,sim_nllb_madlad,sim_nllb_salamandra,sim_madlad_salamandra,agree_nllb_madlad,agree_nllb_salamandra,agree_madlad_salamandra,mt_voted,final_text,final_source,processed_at,cos_en_nllb,cos_en_madlad,cos_en_salamandra,gte_winner,lang_nllb,lang_madlad,lang_salamandra,output_token
relation,en,%1QuilòmetresQuadratsamountInUnits(integer),%1Quilòmetres Quadratsamount In Units(integer),%1Square Kilometersamount In Units ((integer)),%1 square kilometres,%1 Square Kilometersamount In Units(integer),0.9,0.0,0.0,0.0,0,0,0,%1 Square Kilometersamount In Units(integer),%1 Square Kilometersamount In Units(integer),mt_vote_revoted_gte_langfilter,2026-03-19T13:41:06,,,0.8252791166305542,salamandra,en,en,ro,%1SquareKilometersamountInUnits(integer)
relation,en,1rNúmeroDePista,1r Número De Pista,Track number one,1st Track Number,1st Track Number,0.9,0.0,0.0,0.0,0,0,0,1st Track Number,1st Track Number,mt_vote,2026-03-19T13:14:03,,,,,en,en,en,1stTrackNumber
relation,en,3aLongitudDeLaPistaEnPeus,3a Longitud De La Pista En Peus,3rd Length of the Piste In Peus,3rd Track Length In Feet,3rd Length Of The Track In Feet,0.9,0.0,0.0,0.0,0,0,0,3rd Track Length In Feet,3rd Track Length In Feet,mt_vote_revoted_gte_langfilter,2026-03-19T13:41:06,,0.7933626174926758,,madlad,en,fr,en,3rdTrackLengthInFeet
relation,en,5èNúmeroDePista,5è Número De Pista,Fifth track number,5th Track Number,5th Track Number,0.9,0.0,0.0,0.0,0,0,0,5th Track Number,5th Track Number,mt_vote,2026-03-19T13:14:05,,,,,en,en,en,5thTrackNumber
relation,en,AL'oficinaMentreElGovernador,AL'oficina Mentre El Governador,In the office While the governor,In the office While The Governor,In The Governor's Office,0.9,0.0,0.0,0.0,0,0,0,In the office While the governor,In the office While the governor,mt_vote,2026-03-19T13:14:05,,,,,en,en,en,InTheOfficeWhileTheGovernor
relation,en,AL'oficinaMentreElPresident,AL'oficina Mentre El President,In the office While the President,IN THE OFFICE WHEN THE PRESIDENT,In The Office While The President,0.9,0.0,0.0,0.0,0,0,0,In the office While the President,In the office While the President,mt_vote,2026-03-19T13:14:06,,,,,en,en,en,InTheOfficeWhileThePresident
relation,en,AL'oficinaMentreElVicepresident,AL'oficina Mentre El Vicepresident,In the office While the Vice President,IN THE OFFICE WHEN THE VICE PRESIDENT,In The Office While The Vice President,0.9,0.0,0.0,0.0,0,0,0,In the office While the Vice President,In the office While the Vice President,mt_vote,2026-03-19T13:14:07,,,,,en,en,en,InTheOfficeWhileTheVicePresident
relation,en,AL'oficinaMentreMonarch,AL'oficina Mentre Monarch,In the office While Monarch,In the office While Monarch,In the office While Monarch,0.9,0.0,0.0,0.0,0,0,0,In the office While Monarch,In the office While Monarch,mt_vote,2026-03-19T13:14:08,,,,,en,en,en,InTheOfficeWhileMonarch
relation,en,Abreviació,Abreviació,Abbreviation,Abbreviation,Abbreviation,0.9,0.0,0.0,0.0,0,0,0,Abbreviation,Abbreviation,mt_vote,2026-03-19T13:14:09,,,,,en,en,en,Abbreviation
relation,en,Adreça,Adreça,Address,Address,Address,0.9,0.0,0.0,0.0,0,0,0,Address,Address,mt_vote,2026-03-19T13:14:09,,,,,en,en,en,Address
relation,en,Afiliació,Afiliació,Membership,Affiliation,Membership,0.9,0.0,0.0,0.0,0,0,0,Membership,Membership,mt_vote,2026-03-19T13:14:10,,,,,en,en,en,Membership
relation,en,Alcalde,Alcalde,Mayor,Mayor,Mayor,0.9,1.0,1.0,1.0,1,1,1,Mayor,Mayor,mt_vote_revoted_gte_langfilter,2026-03-19T13:41:06,0.9154720306396484,0.9154720306396484,0.9154720306396484,nllb,tr,tr,tr,Mayor
relation,en,AlmaMater,Alma Mater,Alma Mater,Alma Mater,Alma Mater,0.9,0.0,0.0,0.0,0,0,0,Alma Mater,Alma Mater,mt_vote,2026-03-19T13:14:10,,,,,en,en,en,AlmaMater
relation,en,Alçada,Alçada,Height,Height,Height,0.9,0.0,0.0,0.0,0,0,0,Height,Height,mt_vote,2026-03-19T13:14:11,,,,,en,en,en,Height
relation,en,Amplada,Amplada,Large,Width,Width,0.9,0.0,0.0,0.0,0,0,0,Width,Width,mt_vote,2026-03-19T13:14:11,,,,,en,en,en,Width
relation,en,Antecedents,Antecedents,Background,Background,Background,0.9,0.0,0.0,0.0,0,0,0,Background,Background,mt_vote,2026-03-19T13:14:12,,,,,en,en,en,Background
relation,en,AnteriorNom,Anterior Nom,Previous name,Previous Name,Previous Name,0.9,0.0,0.0,0.0,0,0,0,Previous name,Previous name,mt_vote_revoted_gte_langfilter,2026-03-19T13:41:06,0.8363574743270874,,,nllb,fr,en,en,PreviousName
relation,en,AnticEquip,Antic Equip,Old team,Antic Equip,Former Team,0.9,0.0,0.0,0.0,0,0,0,Old team,Old team,mt_vote,2026-03-19T13:14:12,,,,,en,en,en,OldTeam
relation,en,AnticMembreDeLaBanda,Antic Membre De La Banda,Former member of The Band,Former member of the band,Former Band Member,0.9,0.0,0.0,0.0,0,0,0,Former member of The Band,Former member of The Band,mt_vote,2026-03-19T13:14:13,,,,,en,en,en,FormerMemberOfTheBand
