kind,lang,source_token,source_query_text,mt_nllb,mt_madlad,mt_salamandra,vote_threshold,sim_nllb_madlad,sim_nllb_salamandra,sim_madlad_salamandra,agree_nllb_madlad,agree_nllb_salamandra,agree_madlad_salamandra,mt_voted,final_text,final_source,processed_at,cos_en_nllb,cos_en_madlad,cos_en_salamandra,gte_winner,lang_nllb,lang_madlad,lang_salamandra,output_token
entity,en,"""100305.0""(minuts)","""100305.0""(minuts)","""100305.0"" (minutes)","""100305.0""(minutes)","""100305.0""(minutes)",0.9,0.9744,0.9744,1.0,1.0,1.0,1.0,"""100305.0""(minutes)","""100305.0""(minutes)",mt_vote,2026-03-18T12:16:09,,,,,en,en,en,"""100305.0""(minutes)"
entity,en,"""13017.0""(minuts)","""13017.0""(minuts)",I can't believe this is happening.,"""13017.0""(minutes)","""13017.0""(minutes)",0.9,0.0769,0.0769,1.0,0.0,0.0,1.0,"""13017.0""(minutes)","""13017.0""(minutes)",mt_vote,2026-03-18T12:16:16,,,,,en,en,en,"""13017.0""(minutes)"
entity,en,"""52.0""(minuts)","""52.0""(minuts)",I'm not going to lie to you.,"""52.0""(minutes)","""52.0""(minutes)",0.9,0.2326,0.2326,1.0,0.0,0.0,1.0,"""52.0""(minutes)","""52.0""(minutes)",mt_vote,2026-03-18T12:16:22,,,,,en,en,en,"""52.0""(minutes)"
entity,en,"""8820.0""(minuts)","""8820.0""(minuts)","""8820.0"" (minutes)","""8820.0""(minutes)","""8820.0""(minutes)",0.9,0.9714,0.9714,1.0,1.0,1.0,1.0,"""8820.0""(minutes)","""8820.0""(minutes)",mt_vote,2026-03-18T12:16:30,,,,,en,en,en,"""8820.0""(minutes)"
entity,en,"""Alvinegro","""Alvinegro","""Black wine","""Alvinegro","""Alvinegro",0.9,0.0,0.0,1.0,0.0,0.0,1.0,"""Alvinegro","""Alvinegro",mt_vote_revoted_gte_langfilter,2026-03-19T13:40:56,,1.0,1.0,salamandra,en,pl,pl,"""Alvinegro"
entity,en,&_min;7,& min;7,& min;7,& min;7,& min;7,0.9,1.0,1.0,1.0,1.0,1.0,1.0,& min;7,& min;7,mt_vote,2026-03-18T12:16:37,,,,,en,en,en,&_min;7
entity,en,'Til_Death_Do_Us_Part_(EP)_(en_anglès).,'Til Death Do Us Part (EP) (en anglès).,'Til Death Do Us Part (EP) (in English).,'Til Death Do Us Part (EP).,'Til Death Do Us Part (EP) (in English).,0.9,0.0,1.0,0.0,0.0,1.0,0.0,'Til Death Do Us Part (EP) (in English).,'Til Death Do Us Part (EP) (in English).,mt_vote_revoted_gte_langfilter,2026-03-19T13:40:56,0.9884921312332152,,0.9884921312332152,salamandra,it,en,it,'Til_Death_Do_Us_Part_(EP)_(in_English).
entity,en,(10)_Higiea,(10) Higiea,(10) Hygiene,(10) Hygiene,(10) Hygiea,0.9,1.0,0.8696,0.8696,1.0,0.0,0.0,(10) Hygiene,(10) Hygiene,mt_vote,2026-03-18T12:16:50,,,,,en,en,en,(10)_Hygiene
entity,en,(1000)_Piazzia,(1000) Piazzia,(1000) Square,(1000) Squares and squares,(1000) Piazzia,0.9,0.0,0.0,0.0,0.0,0.0,0.0,(1000) Piazzia,(1000) Piazzia,mt_vote_revoted_gte_langfilter,2026-03-19T13:40:56,,,1.0,salamandra,en,en,it,(1000)_Piazzia
entity,en,(1001)_Gaussia,(1001) Gaussia,(1001) Gaussia,(1001) Gaussia,(1001) Gaussia,0.9,1.0,1.0,1.0,1.0,1.0,1.0,(1001) Gaussia,(1001) Gaussia,mt_vote_revoted_gte_langfilter,2026-03-19T13:40:56,1.0000001192092896,1.0000001192092896,1.0000001192092896,nllb,de,de,de,(1001)_Gaussia
