case_id,subqa,language,language_label,category,record_or_component,english_triples,target_triples,aligned_english_text,target_text,comparison_or_context,automatic_risk,automatic_basis,automatic_signals
QA11-CA-44de94c95675,QA1.1,ca,Catalan,Food,train/3triples/Food.xml::Id307,"Spain | leader | Felipe_VI_of_Spain
Ajoblanco | country | Spain
Spain | ethnicGroup | Spaniards","Espanya | Líder | Felip_VI_d'Espanya
ajoblanco | País | Espanya
Espanya | GrupÈtnic | espanyols","Felipe VI of Spain is the leader of Spain, where Spaniards are the ethnic group and where Ajoblanco originates from.","Felip VI d'Espanya és el líder d'Espanya, on els espanyols són el grup ètnic i d'on prové Ajoblanco.","Expected triples: 3; English IDs: Id1
Id2; Target IDs: Id1
Id2; Target lexicalisations in entry: Felip VI d'Espanya és el líder d'Espanya, on els espanyols són el grup ètnic i d'on prové Ajoblanco.
El plat d'ajoblanco és d'Espanya on Felipe VI és el líder i els espanyols són un grup ètnic.",Low,All five structural conditions pass.,"{""lexicalisation_id_alignment"": true, ""lexicalisation_id_unique"": true, ""target_rdf_well_formed"": true, ""target_text_present"": true, ""target_triple_parity"": true}"
QA31-CA-79cdd9158277,QA3.1,ca,Catalan,City,train/3triples/City.xml::Id13::Id3,"Albany,_Georgia | isPartOf | Dougherty_County,_Georgia
Albany,_Georgia | country | United_States
Albany,_Georgia | isPartOf | Georgia_(U.S._state)","Albany,_Geòrgia | ÉsPartDe | Comtat_de_Dougherty,_Geòrgia
Albany,_Geòrgia | País | Estats_Units_d'Amèrica
Albany,_Geòrgia | ÉsPartDe | Georgia_(estat_dels_Estats_Units)","The city of Albany, Georgia, USA is in Dougherty county.","La ciutat d'Albany, Geòrgia, EUA es troba al comtat de Dougherty.",Assess language identity and substantial English leakage; do not score general fluency or style here.,Low,The expected target language is confidently predicted and no hard flag is active.,"{""code_switch_detected"": false, ""full_english_copy_detected"": false, ""hard_language_flag"": false, ""predicted_language"": ""ca"", ""target_language_probability"": 0.9375540614128113, ""valid_target_language"": true, ""wrong_language_detected"": false}"
QA31-ES-20976c64ca85,QA3.1,es,Spanish,CelestialBody,train/1triples/CelestialBody_allSolutions.xml::Id62::Id3,101_Helena | absoluteMagnitude | 8.33,101_Helena | MagnitudAbsoluta | 8.33,101 Helena’s absolute magnitude is 8.33.,"101 La magnitud absoluta de Helena es 8,33.",Assess language identity and substantial English leakage; do not score general fluency or style here.,Medium,"The expected language does not reach the confidence-based valid-language decision, but no hard flag is active.","{""code_switch_detected"": false, ""full_english_copy_detected"": false, ""hard_language_flag"": false, ""predicted_language"": ""es"", ""target_language_probability"": 0.4745112359523773, ""valid_target_language"": false, ""wrong_language_detected"": false}"
QA32-ES-2df23e657c27,QA3.2,es,Spanish,Astronaut,test/rdf-to-text-generation-test-data-with-refs-en.xml::Id1152::Id2,"Alan_Shepard | deathPlace | California
Alan_Shepard | dateOfRetirement | ""1974-08-01""
Alan_Shepard | birthPlace | New_Hampshire","Alan_Bartlett_Shepard | LugarDeLaMuerte | California
Alan_Bartlett_Shepard | FechaDeJubilación | 01-08-1974
Alan_Bartlett_Shepard | LugarDeNacimiento | Nuevo_Hampshire","Alan Shepard's birth place was New Hampshire. He retired on the 1st of August 1974, and he died in California.",Alan Shepard nació en New Hampshire. Se jubiló el 1 de agosto de 1974 y murió en California.,"Different English reference from the same RDF entry:
Alan Shepard was born in New Hampshire, retired in August 1st,1974 and he died in California.",High,"The aligned-reference advantage is in the extreme lower tail, or a non-positive advantage coincides with extreme length variation.","{""aligned_reference_advantage"": -0.04128742218017578, ""aligned_reference_eligible"": true, ""aligned_reference_similarity"": 0.9321475625038147, ""comparison_reference_similarity"": 0.9734349846839905, ""expansion_ratio"": 0.9, ""extreme_advantage"": true, ""extreme_expansion"": false, ""unusual_expansion"": false}"
QA31-ES-816dabc346cd,QA3.1,es,Spanish,Airport,train/5triples/Airport.xml::Id71::Id1,"Al_Asad_Airbase | operatingOrganisation | United_States_Air_Force
United_States_Air_Force | battle | Invasion_of_Grenada
United_States_Air_Force | attackAircraft | Lockheed_AC-130
United_States_Air_Force | battle | United_States_invasion_of_Panama
United_States_Air_Force | transportAircraft | Lockheed_C-130_Hercules","Base_aérea_de_Al_Asad | OrganizaciónOperativa | Fuerza_Aérea_de_los_Estados_Unidos
Fuerza_Aérea_de_los_Estados_Unidos | Batalla | Invasión_de_Granada
Fuerza_Aérea_de_los_Estados_Unidos | AviónDeAtaque | Lockheed_AC-130
Fuerza_Aérea_de_los_Estados_Unidos | Batalla | invasión_estadounidense_de_Panamá
Fuerza_Aérea_de_los_Estados_Unidos | AvionesDeTransporte | Lockheed_C-130_Hercules","The Lockheed AC-130, an attack aircraft, and the Lockheed C-130 Hercules, a transport aircraft, are used by the United States Air Force. The likes of which was involved in the Invasion of Grenada and Panama and operates the Al Asad Airbase.","El Lockheed AC-130, un avión de ataque, y el Lockheed C-130 Hercules, un avión de transporte, son utilizados por las Fuerzas Aéreas de Estados Unidos. Participaron en la invasión de Granada y Panamá y operan la base aérea de Al Asad.",Assess language identity and substantial English leakage; do not score general fluency or style here.,Low,The expected target language is confidently predicted and no hard flag is active.,"{""code_switch_detected"": false, ""full_english_copy_detected"": false, ""hard_language_flag"": false, ""predicted_language"": ""es"", ""target_language_probability"": 0.9131529331207275, ""valid_target_language"": true, ""wrong_language_detected"": false}"
QA12-ES-552077675753,QA1.2,es,Spanish,entity_or_value,2004-07-14,,,,,"Observed target forms and counts: {""14-07-2004"": 17}
Example mappings:
dev/2triples/CelestialBody.xml::Id4: 2004-07-14 → 14-07-2004
dev/5triples/CelestialBody.xml::Id2: 2004-07-14 → 14-07-2004
train/1triples/CelestialBody_allSolutions.xml::Id44: 2004-07-14 → 14-07-2004
train/2triples/CelestialBody.xml::Id31: 2004-07-14 → 14-07-2004",Low,One normalised target form is observed for the recurring source component.,"{""dominant_mapping_rate"": 1.0, ""mapping_review_signal"": false, ""occurrences"": 17, ""target_form_count"": 1}"
QA31-ES-54811d2ddf7d,QA3.1,es,Spanish,WrittenWork,dev/5triples/WrittenWork.xml::Id3::Id3,"Above_the_Veil | country | Australians
Into_Battle_(novel) | followedBy | The_Violet_Keystone
Above_the_Veil | followedBy | Into_Battle_(novel)
Above_the_Veil | precededBy | Aenir
Aenir | precededBy | Castle_(novel)","Por_encima_del_velo | País | australianos
Into_Battle_(novela) | SeguidoDe | La_Llave_Violeta
Por_encima_del_velo | SeguidoDe | Into_Battle_(novela)
Por_encima_del_velo | PrecedidoPor | Aenir
Aenir | PrecedidoPor | Castillo_(novela)",Above the Veil is an Australian novel and the sequel to Aenir and Castle. It was followed by Into the Battle and The Violet Keystone.,Above the Veil es una novela australiana y la secuela de Aenir and Castle. Le siguieron Into the Battle y The Violet Keystone.,Assess language identity and substantial English leakage; do not score general fluency or style here.,High,At least one hard language diagnostic is active.,"{""code_switch_detected"": true, ""full_english_copy_detected"": false, ""hard_language_flag"": true, ""predicted_language"": ""es"", ""target_language_probability"": 0.5837489366531372, ""valid_target_language"": false, ""wrong_language_detected"": false}"
QA31-CA-d9f426adbebb,QA3.1,ca,Catalan,Artist,train/1triples/Artist_allSolutions.xml::Id175::Id1,Anders_Osborne | associatedBand/associatedMusicalArtist | Kirk_Joseph,Anders_Osborne | BandaAssociada/artistaMusicalAssociat | Kirk_Joseph,Anders Osborne has collaborated with Kirk Joseph.,Anders Osborne ha col·laborat amb Kirk Joseph.,Assess language identity and substantial English leakage; do not score general fluency or style here.,Medium,"The expected language does not reach the confidence-based valid-language decision, but no hard flag is active.","{""code_switch_detected"": false, ""full_english_copy_detected"": false, ""hard_language_flag"": false, ""predicted_language"": ""ca"", ""target_language_probability"": 0.5392077565193176, ""valid_target_language"": false, ""wrong_language_detected"": false}"
QA31-ES-a05690f134a8,QA3.1,es,Spanish,MeanOfTransportation,train/4triples/MeanOfTransportation.xml::Id225::Id1,"MTU_Friedrichshafen | city | Friedrichshafen
MTU_Friedrichshafen | parentCompany | Rolls-Royce_Power_Systems
MTU_Friedrichshafen | owner | Rolls-Royce_Holdings
A-Rosa_Luna | powerType | MTU_Friedrichshafen","MTU_Friedrichshafen | Ciudad | Friedrichshafen
MTU_Friedrichshafen | EmpresaMatriz | Rolls-Royce_Power_Systems
MTU_Friedrichshafen | Propietario | Rolls-Royce_Holdings
A-Rosa_Luna | TipoDePotencia | MTU_Friedrichshafen","The A-Rosa Luna is powered by a MTU Friedrichshafen engine. MTU Friedrichshafen, whose parent company is Rolls-Royce Power Systems, is owned by Rolls-Royce Holdings and is in Friedrichshafen.","El A-Rosa Luna está propulsado por un motor MTU Friedrichshafen. MTU Friedrichshafen, cuya empresa matriz es Rolls-Royce Power Systems, es propiedad de Rolls-Royce Holdings y está en Friedrichshafen.",Assess language identity and substantial English leakage; do not score general fluency or style here.,Low,The expected target language is confidently predicted and no hard flag is active.,"{""code_switch_detected"": false, ""full_english_copy_detected"": false, ""hard_language_flag"": false, ""predicted_language"": ""es"", ""target_language_probability"": 0.8037099838256836, ""valid_target_language"": true, ""wrong_language_detected"": false}"
QA32-CA-fdb8a299ed33,QA3.2,ca,Catalan,Airport,train/1triples/Airport_allSolutions.xml::Id251::Id1,Pakistan | leader | Nawaz_Sharif,Pakistan | Líder | Nawaz_Sharif,Pakistan's leader is Nawaz Sharif.,El líder del Pakistan és Nawaz Sharif.,"Different English reference from the same RDF entry:
The leader of Pakistan is Nawaz Sharif.",Medium,"The aligned-reference advantage is non-positive/unavailable, or the expansion ratio is outside the central 90% range.","{""aligned_reference_advantage"": -0.0010324716567993164, ""aligned_reference_eligible"": true, ""aligned_reference_similarity"": 0.9967403411865234, ""comparison_reference_similarity"": 0.9977728128433228, ""expansion_ratio"": 1.4, ""extreme_advantage"": false, ""extreme_expansion"": false, ""unusual_expansion"": true}"
