kind,lang,source_token,source_query_text,mt_nllb,mt_madlad,mt_salamandra,vote_threshold,sim_nllb_madlad,sim_nllb_salamandra,sim_madlad_salamandra,agree_nllb_madlad,agree_nllb_salamandra,agree_madlad_salamandra,mt_voted,final_text,final_source,processed_at,cos_en_nllb,cos_en_madlad,cos_en_salamandra,gte_winner,lang_nllb,lang_madlad,lang_salamandra,output_token
relation,ca,1stRunwayLengthFeet,1st Runway Length Feet,1a pista Llargada peus,Longitud de la primera pista en peus,1a longitud de la pista en peus,0.9,0.4483,0.5283,0.8358,0,0,0,Longitud de la primera pista en peus,Longitud de la primera pista en peus,mt_vote_revoted_gte_langfilter,2026-02-28T21:16:44,0.7423450350761414,0.7613280415534973,0.7482715845108032,madlad,ca,ca,es,LongitudDeLaPrimeraPistaEnPeus
relation,ca,1stRunwayLengthMetre,1st Runway Length Metre,Duració de la 1a pista Mètre,Metre de longitud de la primera pista,1a longitud de la pista en metres,0.9,0.4923,0.5902,0.6,0,0,0,Metre de longitud de la primera pista,Metre de longitud de la primera pista,mt_vote_revoted_gte_langfilter,2026-02-28T21:16:44,0.757858157157898,0.8211570978164673,0.7988789081573486,madlad,ca,es,es,MetreDeLongitudDeLaPrimeraPista
relation,ca,1stRunwayNumber,1st Runway Number,Número de primera pista,Número de pista 1,1r número de pista,0.9,0.75,0.7317,0.8571,0,0,0,1r número de pista,1r número de pista,mt_vote_revoted_gte_langfilter,2026-02-28T21:16:44,0.7556498050689697,0.7609415650367737,0.7661938667297363,salamandra,es,gl,gl,1rNúmeroDePista
relation,ca,1stRunwaySurfaceType,1st Runway Surface Type,1er tipus de superfície de pista,Tipus de superfície de la primera pista,Tipus de superfície de la 1a pista,0.9,0.7887,0.8485,0.9041,0,0,1,Tipus de superfície de la primera pista,Tipus de superfície de la primera pista,mt_vote_revoted_gte_langfilter,2026-02-28T21:16:44,0.7922278046607971,0.8017343282699585,0.7960366010665894,madlad,ca,ca,ca,TipusDeSuperfícieDeLaPrimeraPista
relation,ca,2ndRunwaySurfaceType,2nd Runway Surface Type,Tipus de superfície de 2a pista,Tipus de superfície de la segona pista,Tipus de superfície de la segona pista,0.9,0.8696,0.8696,1.0,0,0,1,Tipus de superfície de la segona pista,Tipus de superfície de la segona pista,mt_vote_revoted_gte_langfilter,2026-02-28T21:16:44,0.8187755942344666,0.8015490770339966,0.8015490770339966,madlad,ca,ca,ca,TipusDeSuperfícieDeLaSegonaPista
relation,ca,3rdRunwayLengthFeet,3rd Runway Length Feet,3a pista Llargada peus,Longitud de la tercera pista en peus,3a longitud de la pista en peus,0.9,0.4483,0.5283,0.8358,0,0,0,3a longitud de la pista en peus,3a longitud de la pista en peus,mt_vote_revoted_gte_langfilter,2026-02-28T21:16:44,0.7769752144813538,0.7769134640693665,0.7888455390930176,salamandra,ca,es,es,3aLongitudDeLaPistaEnPeus
relation,ca,3rdRunwaySurfaceType,3rd Runway Surface Type,Tipus de superfície de la 3a pista,Tipus de superfície de la tercera pista,Tipus de superfície de la 3a pista,0.9,0.9041,1.0,0.9041,1,1,1,Tipus de superfície de la 3a pista,Tipus de superfície de la 3a pista,mt_vote_revoted_gte_langfilter,2026-02-28T21:16:44,0.8096204996109009,0.8068473935127258,0.8096204996109009,nllb,ca,ca,ca,TipusDeSuperfícieDeLa3aPista
relation,ca,4thRunwayLengthFeet,4th Runway Length Feet,4a pista longitud peus,Longitud de la 4a pista en peus,Longitud de la 4a pista en peus,0.9,0.566,0.566,1.0,0,0,1,Longitud de la 4a pista en peus,Longitud de la 4a pista en peus,mt_vote_revoted_gte_langfilter,2026-02-28T21:16:44,0.7551956176757812,0.7873700857162476,0.7873700857162476,madlad,es,es,es,LongitudDeLa4aPistaEnPeus
relation,ca,4thRunwaySurfaceType,4th Runway Surface Type,4è tipus de superfície de pista,Tipus de superfície de la quarta pista,Tipus de superfície de la 4a pista,0.9,0.8116,0.8615,0.9167,0,0,1,Tipus de superfície de la 4a pista,Tipus de superfície de la 4a pista,mt_vote_revoted_gte_langfilter,2026-02-28T21:16:44,0.8144872188568115,0.8181076645851135,0.8205196261405945,salamandra,ca,ca,ca,TipusDeSuperfícieDeLa4aPista
relation,ca,5thRunwayNumber,5th Runway Number,5è número de pista,Número de pista 5,Nombre de la 5a pista,0.9,0.8571,0.6154,0.6316,0,0,0,5è número de pista,5è número de pista,mt_vote_revoted_gte_langfilter,2026-02-28T21:16:44,0.8138576745986938,0.7988501787185669,0.7664777040481567,nllb,ca,gl,fr,5èNúmeroDePista
