subqa,language_label,total_cases,usable_cases,cannot_judge,exact_agreement,within_one_level,mean_absolute_level_difference,priority_precision,priority_recall,priority_f1,automatic_low_confirmation,tp,fp,fn,tn
QA1.1,Catalan,10,10,0,1.0,1.0,0.0,,,,1.0,0,0,0,10
QA1.1,Spanish,10,10,0,1.0,1.0,0.0,,,,1.0,0,0,0,10
QA1.2,Catalan,10,10,0,1.0,1.0,0.0,,,,1.0,0,0,0,10
QA1.2,Spanish,10,10,0,0.8,1.0,0.2,1.0,1.0,1.0,1.0,5,0,0,5
QA2.1,Catalan,10,10,0,0.5,0.7,0.8,0.16666666666666666,1.0,0.2857142857142857,1.0,1,5,0,4
QA2.1,Spanish,10,10,0,0.6,1.0,0.4,0.5,1.0,0.6666666666666666,1.0,3,3,0,4
QA2.2,Catalan,10,10,0,0.5,0.8,0.7,0.5,0.75,0.6,0.75,3,3,1,3
QA2.2,Spanish,10,10,0,0.6,0.9,0.5,0.8333333333333334,1.0,0.9090909090909091,1.0,5,1,0,4
QA3.1,Catalan,10,10,0,0.4,0.7,0.9,0.0,,,1.0,0,6,0,4
QA3.1,Spanish,10,10,0,0.4,0.7,0.9,0.0,,,1.0,0,6,0,4
QA3.2,Catalan,10,10,0,0.4,0.7,0.9,0.0,,,1.0,0,6,0,4
QA3.2,Spanish,10,10,0,0.6,0.8,0.6,0.5,1.0,0.6666666666666666,1.0,3,3,0,4
