variant_id,base_pair_key,record_key,language,language_label,qa_track,corruption_type,severity,declared_size,source_lid,variant_lid,source_triples,clean_target_triples,variant_target_triples,source_text,clean_target_text,variant_target_text,xml_duplicate_target_lex,xml_path,split,triple_bucket,category,eid,is_benign,consistency_group_id,perturbation_pair_id,removed_token_fraction,alternative_reference_lid,alternative_source_text,predicted_language,language_confidence,target_language_probability,valid_target_language,wrong_language_detected,full_english_copy_detected,code_switch_eligible_window_count,code_switch_english_window_count,code_switch_english_window_fraction,code_switch_detected,hard_language_flag,comparison_source_lid,comparison_source_text,english_token_count,target_token_count,expansion_ratio,aligned_reference_eligible,aligned_reference_similarity,comparison_reference_similarity,aligned_reference_advantage,manual_target_language_acceptable,manual_actual_code_switch,manual_grammar_naturalness_1_5,manual_legitimate_variation,manual_aligned_reference_interpretation,manual_notes
original__ca__754df9c5d9b2,train/3triples/Politician.xml::Id154::Id2,train/3triples/Politician.xml::Id154,ca,Catalan,CLEAN,clean,clean,3,Id2,Id2,"['Albert_Jennings_Fountain | birthPlace | New_York', 'American_Civil_War | commander | Abraham_Lincoln', 'Albert_Jennings_Fountain | battle | American_Civil_War']","['Albert_Jennings_Fountain | LlocDeNaixement | Nova_York', 'Guerra_Civil_dels_Estats_Units | Comandant | Abraham_Lincoln', 'Albert_Jennings_Fountain | Batalla | Guerra_Civil_dels_Estats_Units']","['Albert_Jennings_Fountain | LlocDeNaixement | Nova_York', 'Guerra_Civil_dels_Estats_Units | Comandant | Abraham_Lincoln', 'Albert_Jennings_Fountain | Batalla | Guerra_Civil_dels_Estats_Units']",Albert Jennings Fountain was born in New York and fought in the American Civil War when Abraham Lincoln was a commander.,Albert Jennings Fountain va néixer a Nova York i va lluitar a la Guerra Civil Americana quan Abraham Lincoln era un comandant.,Albert Jennings Fountain va néixer a Nova York i va lluitar a la Guerra Civil Americana quan Abraham Lincoln era un comandant.,False,train/3triples/Politician.xml,train,3triples,Politician,Id154,False,,,,,,ca,0.9236124157905579,0.9236124157905579,True,False,False,3,0,0.0,False,False,Id1,New York-born Albert Jennings Fountain fought in the American Civil War which saw Abraham Lincoln as one of its commanders.,21,22,1.0476190476190477,True,0.9951336979866028,0.9501730799674988,0.044960618019104004,,,,,,
original__ca__0b19b02f4588,train/4triples/Food.xml::Id22::Id1,train/4triples/Food.xml::Id22,ca,Catalan,CLEAN,clean,clean,4,Id1,Id1,"['Arem-arem | country | Indonesia', 'Arem-arem | region | ""Nationwide in Indonesia, but more specific to Java""', 'Indonesia | leader | Joko_Widodo', 'Indonesia | language | Indonesian_language']","['Arem-arem | País | Indonèsia', 'Arem-arem | Regió | Nacional_a_Indonèsia,_però_més_específic_a_Java', 'Indonèsia | Líder | Joko_Widodo', 'Indonèsia | Llengua | Llengua_indonesiana']","['Arem-arem | País | Indonèsia', 'Arem-arem | Regió | Nacional_a_Indonèsia,_però_més_específic_a_Java', 'Indonèsia | Líder | Joko_Widodo', 'Indonèsia | Llengua | Llengua_indonesiana']","Joko Widodo is the leader in Indonesia, where the language is Indonesian. It is also where Arem-arem is served, nationwide but more specific to Java.","Joko Widodo és el líder a Indonèsia, on la llengua és l'indonesi. També és on se serveix Arem-Arem, a tot el país, però més específicament a Java.","Joko Widodo és el líder a Indonèsia, on la llengua és l'indonesi. També és on se serveix Arem-Arem, a tot el país, però més específicament a Java.",False,train/4triples/Food.xml,train,4triples,Food,Id22,False,,,,,,ca,0.920108437538147,0.920108437538147,True,False,False,3,0,0.0,False,False,Id2,"Arem-arem is a dish of Indonesia, but more specific to Java. Joko Widodo is the leader of Indonesia and they speak Indonesian.",25,27,1.08,True,0.9902629852294922,0.9072076678276062,0.08305531740188599,,,,,,
original__ca__00a710852bc3,train/2triples/Artist.xml::Id120::Id1,train/2triples/Artist.xml::Id120,ca,Catalan,CLEAN,clean,clean,2,Id1,Id1,"['Alex_Day | genre | Synthpop', 'Synthpop | stylisticOrigin | Pop_music']","['Alex_Day | Gènere | Synthpop', 'Synthpop | OrigenEstilístic | pop']","['Alex_Day | Gènere | Synthpop', 'Synthpop | OrigenEstilístic | pop']",Alex Day performs Synthpop music which is a form of pop music.,Alex Day interpreta música Synthpop que és una forma de música pop.,Alex Day interpreta música Synthpop que és una forma de música pop.,False,train/2triples/Artist.xml,train,2triples,Artist,Id120,False,,,,,,ca,0.5996706485748291,0.5996706485748291,False,False,False,1,0,0.0,False,False,Id2,"Alex Day uses the Synthpop genre, the stylistic origin ofwhich is pop music.",12,12,1.0,True,0.9817218780517578,0.9343265295028687,0.04739534854888916,,,,,,
original__ca__04e1414ec01e,train/2triples/SportsTeam.xml::Id127::Id1,train/2triples/SportsTeam.xml::Id127,ca,Catalan,CLEAN,clean,clean,2,Id1,Id1,"['AZAL_PFK | league | Azerbaijan_Premier_League', 'Azerbaijan_Premier_League | champions | Qarabağ_FK']","['AZAL_PFK | Lliga | lliga_azerbaidjanesa_de_futbol', 'lliga_azerbaidjanesa_de_futbol | Campions | FK_Karabakh_Agdam']","['AZAL_PFK | Lliga | lliga_azerbaidjanesa_de_futbol', 'lliga_azerbaidjanesa_de_futbol | Campions | FK_Karabakh_Agdam']",The AZAL PFK competes in The Azerbaijan Premier League where the championship is held by Qarabag FK.,"L'AZAL PFK competeix a la Premier League de l'Azerbaidjan, on el campionat l'organitza el Qarabag FK.","L'AZAL PFK competeix a la Premier League de l'Azerbaidjan, on el campionat l'organitza el Qarabag FK.",False,train/2triples/SportsTeam.xml,train,2triples,SportsTeam,Id127,False,,,,,,ca,0.8047505617141724,0.8047505617141724,True,False,False,2,0,0.0,False,False,Id2,AZAL PFK play in the Azerbaijan Premier League where the champions are Qarabag FK.,17,16,0.9411764705882353,True,0.9671570658683777,0.9710804224014282,-0.003923356533050537,,,,,,
original__ca__b298ce7bde4a,train/2triples/Athlete.xml::Id168::Id1,train/2triples/Athlete.xml::Id168,ca,Catalan,CLEAN,clean,clean,2,Id1,Id1,"['Canada | leader | Elizabeth_II', 'Aaron_Boogaard | birthPlace | Canada']","['Canadà | Líder | Elisabet_II_del_Regne_Unit', 'Aaron_Boogaard | LlocDeNaixement | Canadà']","['Canadà | Líder | Elisabet_II_del_Regne_Unit', 'Aaron_Boogaard | LlocDeNaixement | Canadà']",Canada is led by Elizabeth II and is the birthplace of Aaron Boogaard.,El Canadà està dirigit per Elisabet II i és el lloc de naixement d'Aaron Boogaard.,El Canadà està dirigit per Elisabet II i és el lloc de naixement d'Aaron Boogaard.,False,train/2triples/Athlete.xml,train,2triples,Athlete,Id168,False,,,,,,ca,0.9433495998382568,0.9433495998382568,True,False,False,2,0,0.0,False,False,Id2,Aaron Boogaard was born in Canada where the leader is Elizabeth II.,13,15,1.1538461538461537,True,0.9482520818710327,0.9064095616340637,0.041842520236968994,,,,,,
original__ca__5d1de685a3d0,train/1triples/Athlete_allSolutions.xml::Id105::Id3,train/1triples/Athlete_allSolutions.xml::Id105,ca,Catalan,CLEAN,clean,clean,1,Id3,Id3,['Al-Wakrah_Sport_Club | position | Qatar_Stars_League'],['Club_Esportiu_Al-Wakrah | Posició | Lliga_qatariana_de_futbol'],['Club_Esportiu_Al-Wakrah | Posició | Lliga_qatariana_de_futbol'],Al Wakrah Sport Club play in the Qatar Stars league.,L'Al Wakrah Sport Club juga a la lliga Qatar Stars.,L'Al Wakrah Sport Club juga a la lliga Qatar Stars.,False,train/1triples/Athlete_allSolutions.xml,train,1triples,Athlete,Id105,False,,,,,,ca,0.8545655012130737,0.8545655012130737,True,False,False,1,0,0.0,False,False,Id1,Al-Wakrah Sport Club position is in the Qatar Stars League.,10,10,1.0,True,0.9747390747070312,0.9592158198356628,0.015523254871368408,,,,,,
original__ca__d6c6bcc6558d,train/3triples/Artist.xml::Id138::Id2,train/3triples/Artist.xml::Id138,ca,Catalan,CLEAN,clean,clean,3,Id2,Id2,"['Alfredo_Zitarrosa | genre | Candombe', 'Alfredo_Zitarrosa | recordLabel | Orfeo_(Uruguayan_record_label)', 'Alfredo_Zitarrosa | background | ""solo_singer""']","['Alfredo_Zitarrosa | Gènere | candombe', 'Alfredo_Zitarrosa | EtiquetaDelRegistre | Orfeo_(empresa_discogràfica_uruguaiana)', 'Alfredo_Zitarrosa | Antecedents | cantant_en_solitari']","['Alfredo_Zitarrosa | Gènere | candombe', 'Alfredo_Zitarrosa | EtiquetaDelRegistre | Orfeo_(empresa_discogràfica_uruguaiana)', 'Alfredo_Zitarrosa | Antecedents | cantant_en_solitari']","Alfredo Zitarrosa, who started out as a solo singer, is with the Orfeo record label. Alfredo Zitarrosa's musical genre is Candombe.","Alfredo Zitarrosa, que va començar com a cantant en solitari, està amb el segell discogràfic Orfeo.El gènere musical d'Alfredo Zitarrosa és el candombe.","Alfredo Zitarrosa, que va començar com a cantant en solitari, està amb el segell discogràfic Orfeo.El gènere musical d'Alfredo Zitarrosa és el candombe.",False,train/3triples/Artist.xml,train,3triples,Artist,Id138,False,,,,,,ca,0.9372894167900085,0.9372894167900085,True,False,False,3,0,0.0,False,False,Id1,Alfredo Zitarrosa started out as a solo singer and belongs to the Orfeo record label. The musical genre of Alfredo Zitarrosa is Candombe.,21,23,1.0952380952380953,True,0.9616259336471558,0.9626601934432983,-0.0010342597961425781,,,,,,
original__ca__6d06c4a6f703,test/rdf-to-text-generation-test-data-with-refs-en.xml::Id968::Id2,test/rdf-to-text-generation-test-data-with-refs-en.xml::Id968,ca,Catalan,CLEAN,clean,clean,1,Id2,Id2,['1147_Stavropolis | discovered | 1929-06-11'],['(1147)_Stavropolis | Descobert | 1929-06-11'],['(1147)_Stavropolis | Descobert | 1929-06-11'],"1147 Stavropolis is an asteroid, discovered on 11 June 1929.","1147 Stavropolis és un asteroide, descobert l'11 de juny de 1929.","1147 Stavropolis és un asteroide, descobert l'11 de juny de 1929.",False,test/rdf-to-text-generation-test-data-with-refs-en.xml,test,rdf-to-text-generation-test-data-with-refs-en.xml,CelestialBody,Id968,False,,,,,,ca,0.8054512739181519,0.8054512739181519,True,False,False,1,0,0.0,False,False,Id1,The asteroid 1147 Stavropolis was discovered on the 11th of June 1929.,10,11,1.1,True,0.9950140118598938,0.9673949480056763,0.02761906385421753,,,,,,
original__ca__9b3f355f00e3,train/3triples/Politician.xml::Id252::Id3,train/3triples/Politician.xml::Id252,ca,Catalan,CLEAN,clean,clean,3,Id3,Id3,"['United_States | ethnicGroup | Native_Americans_in_the_United_States', 'Abraham_A._Ribicoff | birthPlace | Connecticut', 'Abraham_A._Ribicoff | nationality | United_States']","[""Estats_Units_d'Amèrica | GrupÈtnic | amerindis_dels_Estats_Units"", 'Abraham_A._Ribicoff | LlocDeNaixement | Connecticut', ""Abraham_A._Ribicoff | Nacionalitat | Estats_Units_d'Amèrica""]","[""Estats_Units_d'Amèrica | GrupÈtnic | amerindis_dels_Estats_Units"", 'Abraham_A._Ribicoff | LlocDeNaixement | Connecticut', ""Abraham_A._Ribicoff | Nacionalitat | Estats_Units_d'Amèrica""]",Abraham A Ribicoff is from Connecticut which is in the United States where one of the ethnic groups are the Native Americans.,"Abraham A Ribicoff és de Connecticut, que és als Estats Units on un dels grups ètnics són els nadius americans.","Abraham A Ribicoff és de Connecticut, que és als Estats Units on un dels grups ètnics són els nadius americans.",False,train/3triples/Politician.xml,train,3triples,Politician,Id252,False,,,,,,ca,0.9754656553268433,0.9754656553268433,True,False,False,2,0,0.0,False,False,Id1,"Native Americans are an ethnic group in the U.S, the birthplace (Connecticut) of Abraham A Ribicoff.",22,20,0.9090909090909091,True,0.9649513959884644,0.8397919535636902,0.12515944242477417,,,,,,
original__ca__0b435c51141a,train/5triples/Food.xml::Id134::Id3,train/5triples/Food.xml::Id134,ca,Catalan,CLEAN,clean,clean,5,Id3,Id3,"['Bhajji | country | India', 'Bhajji | region | Karnataka', 'Bhajji | mainIngredient | ""Gram flour, vegetables""', 'Bhajji | alternativeName | ""Bhaji, bajji""', 'Bhajji | ingredient | Vegetable']","['Bhajji | País | Índia', 'Bhajji | Regió | Karnataka', 'Bhajji | PrincipalIngredient | Farina_de_gram,_verdures', 'Bhajji | NomAlternatiu | Bhaji,_bajji', 'Bhajji | Ingredient | verdura']","['Bhajji | País | Índia', 'Bhajji | Regió | Karnataka', 'Bhajji | PrincipalIngredient | Farina_de_gram,_verdures', 'Bhajji | NomAlternatiu | Bhaji,_bajji', 'Bhajji | Ingredient | verdura']","Bhajji (Bhaji), or bajji, contains vegetables and gram flour; it originates from the Karnataka region of India.","Bhajji (Bhaji), o bajji, conté verdures i farina de gram; s'origina a la regió de Karnataka de l'Índia.","Bhajji (Bhaji), o bajji, conté verdures i farina de gram; s'origina a la regió de Karnataka de l'Índia.",False,train/5triples/Food.xml,train,5triples,Food,Id134,False,,,,,,ca,0.7442417740821838,0.7442417740821838,True,False,False,2,0,0.0,False,False,Id1,"Bhajji is also known as Bhaji or bajji, originates from the Karnataka region of India. It is usually made up of vegetables and gram flour.",17,18,1.0588235294117647,True,0.986143171787262,0.957709550857544,0.028433620929718018,,,,,,
