kind,lang,source_token,source_query_text,qid,wikidata_label,wikidata_aliases_json,mt_nllb,mt_madlad,mt_salamandra,vote_threshold,sim_nllb_madlad,sim_nllb_salamandra,sim_madlad_salamandra,agree_nllb_madlad,agree_nllb_salamandra,agree_madlad_salamandra,mt_voted,final_text,final_source,processed_at,cos_en_nllb,cos_en_madlad,cos_en_salamandra,gte_winner,lang_nllb,lang_madlad,lang_salamandra,output_token
entity,ca,"""''Alvinegro""",''Alvinegro,,,[],"""Alvinegro","""Alvinegro","""Alvinegro""",0.9,1.0,0.9524,0.9524,1.0,1.0,1.0,"""Alvinegro","""Alvinegro",mt_vote_revoted_gte_langfilter,2026-02-28T21:16:33,0.9641896486282348,0.9641896486282348,0.9609798192977904,nllb,pl,pl,pl,"""Alvinegro"
entity,ca,"""+90 356""",+90 356,,,[],,,,0.9,,,,,,,,+90 356,passthrough_number_symbols,2026-02-28T19:52:38,,,,,und,und,und,+90_356
entity,ca,"""-7""",-7,,,[],,,,0.9,,,,,,,,-7,passthrough_number_symbols,2026-02-28T19:52:38,,,,,und,und,und,-7
entity,ca,"""-8""",-8,,,[],,,,0.9,,,,,,,,-8,passthrough_number_symbols,2026-02-28T19:52:38,,,,,und,und,und,-8
entity,ca,"""0-374-26131-8""",0-374-26131-8,,,[],,,,0.9,,,,,,,,0-374-26131-8,passthrough_number_symbols,2026-02-28T19:52:38,,,,,und,und,und,0-374-26131-8
entity,ca,"""0-439-17684-0""",0-439-17684-0,,,[],,,,0.9,,,,,,,,0-439-17684-0,passthrough_number_symbols,2026-02-28T19:52:38,,,,,und,und,und,0-439-17684-0
entity,ca,"""0-439-17685-9""",0-439-17685-9,,,[],,,,0.9,,,,,,,,0-439-17685-9,passthrough_number_symbols,2026-02-28T19:52:38,,,,,und,und,und,0-439-17685-9
entity,ca,"""0-439-92550-9""",0-439-92550-9,,,[],,,,0.9,,,,,,,,0-439-92550-9,passthrough_number_symbols,2026-02-28T19:52:38,,,,,und,und,und,0-439-92550-9
entity,ca,"""0-670-03380-4""",0-670-03380-4,,,[],,,,0.9,,,,,,,,0-670-03380-4,passthrough_number_symbols,2026-02-28T19:52:38,,,,,und,und,und,0-670-03380-4
entity,ca,"""0-7156-3648-0""",0-7156-3648-0,,,[],,,,0.9,,,,,,,,0-7156-3648-0,passthrough_number_symbols,2026-02-28T19:52:38,,,,,und,und,und,0-7156-3648-0
entity,ca,"""0-7653-0633-6""",0-7653-0633-6,,,[],,,,0.9,,,,,,,,0-7653-0633-6,passthrough_number_symbols,2026-02-28T19:52:38,,,,,und,und,und,0-7653-0633-6
